num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,booking_destination,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,origin,destination,country_route
2,Internet,RoundTrip,139,21,17,Wed,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,237,21,5,Wed,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,244,30,3,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,75,21,9,Sat,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,50,17,10,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,30,85,15,Fri,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,121,19,10,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,280,35,2,Sun,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,252,25,9,Tue,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,60,18,9,Mon,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,35,255,1,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,73,17,15,Sun,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,5,28,9,Mon,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,9,41,11,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,61,83,2,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,186,20,17,Sat,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,97,23,6,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,17,79,7,Thu,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,58,21,9,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,125,181,13,Mon,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,7,20,5,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,329,25,15,Sat,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,32,18,10,Thu,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,125,181,13,Mon,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,71,18,8,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,66,18,4,Tue,AKLKUL,New Zealand,Malaysia,0,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,68,26,14,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
6,Internet,RoundTrip,219,17,17,Thu,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,168,21,1,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,320,29,0,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,292,20,6,Sun,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,194,37,8,Tue,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,40,35,7,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,25,28,8,Mon,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,70,183,2,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
6,Internet,RoundTrip,39,21,8,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,27,28,9,Thu,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,79,90,4,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,86,18,8,Thu,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,188,27,15,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,75,30,6,Wed,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,237,49,9,Sun,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,377,35,10,Sun,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,63,19,8,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,60,17,17,Tue,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,114,18,0,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,282,18,3,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,76,85,0,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,386,25,3,Mon,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,352,22,5,Sun,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,8,17,1,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,105,17,15,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,30,44,9,Sat,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Mobile,RoundTrip,118,17,4,Fri,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,106,20,8,Thu,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,235,19,9,Mon,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,226,33,5,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,186,21,10,Mon,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,389,17,6,Fri,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,116,27,7,Sun,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,316,17,2,Thu,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
5,Internet,RoundTrip,393,17,1,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,107,23,12,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,330,18,2,Thu,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,122,18,16,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,98,17,4,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,76,17,15,Thu,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,368,17,6,Sun,AKLKUL,New Zealand,Malaysia,0,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,38,26,14,Mon,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,47,17,3,Sat,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,172,23,14,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,30,63,2,Sun,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,68,28,2,Thu,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,641,46,6,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,106,32,14,Tue,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,256,43,15,Mon,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,64,17,9,Thu,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,4,19,13,Sat,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
8,Internet,RoundTrip,110,17,3,Sun,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,67,17,12,Mon,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,115,36,6,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,48,17,3,Sat,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,31,22,1,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,288,56,9,Mon,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,55,21,12,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,179,21,11,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,12,28,8,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,26,90,15,Sun,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,270,42,15,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,76,17,0,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,19,25,12,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,139,23,1,Fri,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,243,27,16,Mon,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,118,21,13,Mon,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,182,21,13,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,221,24,9,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,247,21,15,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,135,17,2,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,61,415,6,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,26,29,16,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,54,17,13,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,82,22,2,Wed,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,100,42,17,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,266,19,14,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,74,86,3,Fri,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,36,19,5,Sat,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
5,Internet,RoundTrip,38,26,7,Thu,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,62,47,10,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,83,35,13,Tue,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,227,20,16,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,167,32,16,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,388,22,7,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
7,Internet,RoundTrip,97,17,16,Fri,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,93,91,7,Mon,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,119,134,17,Sun,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,23,18,11,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,227,22,12,Sat,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,59,36,10,Fri,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,47,21,2,Wed,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,352,29,4,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,112,18,12,Sat,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,8,19,9,Thu,AKLKUL,New Zealand,Malaysia,0,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,56,17,8,Fri,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,308,29,16,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,383,20,6,Sun,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,30,41,12,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,79,43,6,Fri,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,115,45,13,Fri,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,55,20,6,Tue,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,71,31,12,Fri,AKLKUL,New Zealand,Malaysia,0,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,133,18,16,Thu,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
